	BIOCHEMICAL	SUPER PATHWAY	Pathway	Feature	PLATFORM	CHEMICAL ID	RT	MZ	PUBCHEM	CAS	HMDB_ID	KEGG
62947	"N,N,N-trimethyl-alanylproline betaine (TMAP)"	Amino Acid	Urea cycle; Arginine and Proline Metabolism	"N,N,N-trimethyl-alanylproline betaine (TMAP)"	LC/MS Pos Early	100020217	2470	229.1547				
63151	"N,N-dimethylalanine"	Amino Acid	Alanine and Aspartate Metabolism	"N,N-dimethylalanine"	LC/MS Pos Early	100020371	1370	118.0863	5488191	2812-31-9		
31536	N-(2-furoyl)glycine	Xenobiotics	Food Component/Plant	N-(2-furoyl)glycine	LC/MS Polar	100001086	1230	168.0302	21863	5657-19-2;5657-19-2	HMDB00439	
62059	N-acetyl-2-aminooctanoate*	Lipid	"Fatty Acid, Amino"	N-acetyl-2-aminooctanoate*	LC/MS Neg	100020204	3943	200.1292	95555		HMDB59745	
35665	N-acetyl-aspartyl-glutamate (NAAG)	Amino Acid	Glutamate Metabolism	N-acetyl-aspartyl-glutamate (NAAG)	LC/MS Pos Early	100001612	1035	305.098	5255	3106-85-2	HMDB01067	C12270
37432	N-acetyl-beta-alanine	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	N-acetyl-beta-alanine	LC/MS Neg	100002102	773	130.051	76406	3025-95-4		C01073
62309	N-acetyl-isoputreanine	Amino Acid	Polyamine Metabolism	N-acetyl-isoputreanine	LC/MS Pos Early	100020487	2305	203.139	131802901			
1585	N-acetylalanine	Amino Acid	Alanine and Aspartate Metabolism	N-acetylalanine	LC/MS Polar	1110	1564.8	130.051	88064	97-69-8	HMDB00766	C02847
45404	N-acetylalliin	Xenobiotics	Food Component/Plant	N-acetylalliin	LC/MS Pos Early	100005367	1348	220.0638				
33953	N-acetylarginine	Amino Acid	Urea cycle; Arginine and Proline Metabolism	N-acetylarginine	LC/MS Pos Early	100001266	2245	217.1295	67427	155-84-0	HMDB04620	C02562
33942	N-acetylasparagine	Amino Acid	Alanine and Aspartate Metabolism	N-acetylasparagine	LC/MS Polar	100001257	2250	173.0568	99715	4033-40-3	HMDB06028	
22185	N-acetylaspartate (NAA)	Amino Acid	Alanine and Aspartate Metabolism	N-acetylaspartate (NAA)	LC/MS Polar	100000787	3143	174.0408	65065	997-55-7;997-55-7	HMDB00812	C01042
43488	N-acetylcarnosine	Amino Acid	Histidine Metabolism	N-acetylcarnosine	LC/MS Polar	100004046	2287	267.1099	9903482	56353-15-2	HMDB12881	
46539	N-acetylglucosamine/N-acetylgalactosamine	Carbohydrate	Aminosugar Metabolism	N-acetylglucosamine/N-acetylgalactosamine	LC/MS Pos Early	100006435	715	222.0972				
48149	N-acetylglucosaminylasparagine	Carbohydrate	Aminosugar Metabolism	N-acetylglucosaminylasparagine	LC/MS Pos Early	1215	1212	336.1402	123826	2776-93-4	HMDB00489	C04540
15720	N-acetylglutamate	Amino Acid	Glutamate Metabolism	N-acetylglutamate	LC/MS Polar	100000282	3106	188.0564	70914	8/3/17	HMDB01138	C00624
33943	N-acetylglutamine	Amino Acid	Glutamate Metabolism	N-acetylglutamine	LC/MS Polar	100001253	2140	187.0724	182230	2490-97-3	HMDB06029	C02716
27710	N-acetylglycine	Amino Acid	"Glycine, Serine and Threonine Metabolism"	N-acetylglycine	LC/MS Neg	100001006	731	116.0353	10972	543-24-8	HMDB00532	
1587	N-acetylleucine	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	N-acetylleucine	LC/MS Neg	1082	2400	172.0979	70912	1188-21-2	HMDB11756	C02710
1589	N-acetylmethionine	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	N-acetylmethionine	LC/MS Neg	1083	1787	190.0543	448580	65-82-7	HMDB11745	C02712
32377	N-acetylneuraminate	Carbohydrate	Aminosugar Metabolism	N-acetylneuraminate	LC/MS Pos Early	1162	660	310.1133	439197	131-48-6	HMDB00230	C00270
33950	N-acetylphenylalanine	Amino Acid	Phenylalanine Metabolism	N-acetylphenylalanine	LC/MS Neg	100001256	2597	206.0823	74839	2018-61-3	HMDB00512	C03519
37496	N-acetylputrescine	Amino Acid	Polyamine Metabolism	N-acetylputrescine	LC/MS Pos Early	192	2230	131.1179	122356	18233-70-0	HMDB02064	C02714
37076	N-acetylserine	Amino Acid	"Glycine, Serine and Threonine Metabolism"	N-acetylserine	LC/MS Polar	100001851	2000	146.0459	65249	97-14-3	HMDB02931	
48187	N-acetyltaurine	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	N-acetyltaurine	LC/MS Neg	100005466	800	166.018	159864			
33939	N-acetylthreonine	Amino Acid	"Glycine, Serine and Threonine Metabolism"	N-acetylthreonine	LC/MS Neg	100001274	821.6	160.0615	152204	17093-74-2	HMDB62557	
33959	N-acetyltryptophan	Amino Acid	Tryptophan Metabolism	N-acetyltryptophan	LC/MS Neg	100001254	2630	245.0932	700653	1218-34-4	HMDB13713	C03137
32390	N-acetyltyrosine	Amino Acid	Tyrosine Metabolism	N-acetyltyrosine	LC/MS Neg	100001104	1680	222.0772	68310	537-55-3	HMDB00866	
1591	N-acetylvaline	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	N-acetylvaline	LC/MS Neg	1084	1704	158.0823	66789	96-81-1	HMDB11757	
1594	N-carbamoylaspartate	Nucleotide	"Pyrimidine Metabolism, Orotate containing"	N-carbamoylaspartate	LC/MS Polar	1108	3800	175.036	93072	923-37-5	HMDB00828	C00438
43249	N-delta-acetylornithine	Amino Acid	Urea cycle; Arginine and Proline Metabolism	N-delta-acetylornithine	LC/MS Neg	100004523	858	173.0932	9920500			
43549	N-formylanthranilic acid	Amino Acid	Tryptophan Metabolism	N-formylanthranilic acid	LC/MS Neg	100004561	2150	164.0353	101399	3342-77-6	HMDB04089	C05653
2829	N-formylmethionine	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	N-formylmethionine	LC/MS Neg	194	1543.8	176.0387	439750	4289-98-9	HMDB01015	C03145
47101	N-methylpipecolate	Xenobiotics	Bacterial/Fungal	N-methylpipecolate	LC/MS Pos Early	100005383	1932	144.1019	11286529	41447-17-0		
37431	N-methylproline	Amino Acid	Urea cycle; Arginine and Proline Metabolism	N-methylproline	LC/MS Pos Early	100001956	1335	130.0863	557	475-11-6		
57664	N-oleoylserine	Lipid	Endocannabinoid	N-oleoylserine	LC/MS Neg	100015641	5600	368.2806				
39732	N-oleoyltaurine	Lipid	Endocannabinoid	N-oleoyltaurine	LC/MS Neg	100003119	5610	388.2527	6437033	52514-04-2		
57776	N-oxalyl glycine (NOG)	Xenobiotics	Food Component/Plant	N-oxalyl glycine (NOG)	LC/MS Polar	100015923	3292	146.0095	3080614			
42092	N-palmitoylglycine	Lipid	Fatty Acid Metabolism (Acyl Glycine)	N-palmitoylglycine	LC/MS Neg	100003686	5580	312.2544	151008	2441-41-0	HMDB13034	
40469	N1-Methyl-2-pyridone-5-carboxamide	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	N1-Methyl-2-pyridone-5-carboxamide	LC/MS Neg	100001468	1668	151.0513	69698	701-44-0	HMDB04193	C05842
57584	N1-Methyl-4-pyridone-3-carboxamide	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	N1-Methyl-4-pyridone-3-carboxamide	LC/MS Pos Early	100001469	1260	153.0659	440810	769-49-3	HMDB04194	C05843
15650	1-methyladenosine	Nucleotide	"Purine Metabolism, Adenine containing"	1-methyladenosine	LC/MS Pos Early	1242	2120	282.1197	27476	15763-06-1	HMDB03331	C02494
48351	N1-methylinosine	Nucleotide	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	N1-methylinosine	LC/MS Pos Early	100001409	1430	283.1037	65095	20245-33-4	HMDB02721	
35137	"N2,N2-dimethylguanosine"	Nucleotide	"Purine Metabolism, Guanine containing"	"N2,N2-dimethylguanosine"	LC/MS Pos Early	100001412	2210	312.1303	92919	2140-67-2	HMDB04824	
63254	"N2-acetyl,N6,N6-dimethyllysine"	Amino Acid	Lysine Metabolism	"N2-acetyl,N6,N6-dimethyllysine"	LC/MS Pos Early	100020545	2172	217.1547				
35130	N4-acetylcytidine	Nucleotide	"Pyrimidine Metabolism, Cytidine containing"	N4-acetylcytidine	LC/MS Pos Early	100001413	1580	286.1034	107461	3768-18-1	HMDB05923	
1498	"N6,N6,N6-trimethyllysine"	Amino Acid	Lysine Metabolism	"N6,N6,N6-trimethyllysine"	LC/MS Pos Early	189	2825	189.1598	440120	23284-33-5	HMDB01325	C03793
62862	"N6,N6-dimethyllysine"	Amino Acid	Lysine Metabolism	"N6,N6-dimethyllysine"	LC/MS Pos Early	100020417	2831	175.1441	193344	2259-86-1	HMDB13287	C05545
36752	N6-acetyllysine	Amino Acid	Lysine Metabolism	N6-acetyllysine	LC/MS Neg	100001734	1059	187.1088	92832	692-04-6	HMDB00206	C02727
35157	N6-carbamoylthreonyladenosine	Nucleotide	"Purine Metabolism, Adenine containing"	N6-carbamoylthreonyladenosine	LC/MS Neg	100001415	2164	411.127	161466	24719-82-2	HMDB41623	
36713	N6-carboxymethyllysine	Carbohydrate	Advanced Glycation End-product	N6-carboxymethyllysine	LC/MS Pos Early	100001768	2500	205.1183	123800	4/3/46		
62860	N6-methyllysine	Amino Acid	Lysine Metabolism	N6-methyllysine	LC/MS Pos Early	100003415	2831	161.1285	164795	1188-07-4	HMDB02038	C02728
594	nicotinamide	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	nicotinamide	LC/MS Pos Early	432	1942	123.0553	936	98-92-0	HMDB01406	C00153
1356	nonadecanoate (19:0)	Lipid	Long Chain Saturated Fatty Acid	nonadecanoate (19:0)	LC/MS Neg	892	6068	297.2799	12591	646-30-0	HMDB00772	C16535
61775	nonanoylcarnitine (C9)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)"	nonanoylcarnitine (C9)	LC/MS Pos Late	100006620	1010	302.2326			HMDB13288	
45413	O-sulfo-L-tyrosine	Xenobiotics	Chemical	O-sulfo-L-tyrosine	LC/MS Neg	100005384	990	260.0234	514186			
61860	octadecadienedioate (C18:2-DC)*	Lipid	"Fatty Acid, Dicarboxylate"	octadecadienedioate (C18:2-DC)*	LC/MS Neg	100019982	4676	309.2071				
36754	octadecanedioate (C18)	Lipid	"Fatty Acid, Dicarboxylate"	octadecanedioate (C18)	LC/MS Neg	100001615	5043	313.2384	70095	871-70-5	HMDB00782	
61867	octadecanedioylcarnitine (C18-DC)*	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)"	octadecanedioylcarnitine (C18-DC)*	LC/MS Pos Late	100005998	1227	458.3476		123233-50-1		
61861	octadecenedioate (C18:1-DC)	Lipid	"Fatty Acid, Dicarboxylate"	octadecenedioate (C18:1-DC)	LC/MS Neg	100019978	4875	311.2228				
61865	octadecenedioylcarnitine (C18:1-DC)*	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)"	octadecenedioylcarnitine (C18:1-DC)*	LC/MS Pos Late	100005996	1180	456.332		251981-06-3		
33936	octanoylcarnitine (C8)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)"	octanoylcarnitine (C8)	LC/MS Pos Late	100001247	950	288.2169	123701	3671-77-0	HMDB00791	C02838
52285	oleate/vaccenate (18:1)	Lipid	Long Chain Monounsaturated Fatty Acid	oleate/vaccenate (18:1)	LC/MS Neg	100008930	5655	281.2486				
38102	oleoyl ethanolamide	Lipid	Endocannabinoid	oleoyl ethanolamide	LC/MS Neg	1137	6450	324.2908	5283454	11-58-0;111-58-0	HMDB02088	
35160	oleoylcarnitine (C18:1)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)"	oleoylcarnitine (C18:1)	LC/MS Pos Late	100001501	1423	426.3578	6441392	38677-66-6	HMDB05065	
53260	oleoylcholine	Lipid	Fatty Acid Metabolism (Acyl Choline)	oleoylcholine	LC/MS Pos Late	100009331	1449	368.3523				
1493	ornithine	Amino Acid	Urea cycle; Arginine and Proline Metabolism	ornithine	LC/MS Pos Early	444	2800	133.0972	6262	3184-13-2	HMDB03374	C00077
1505	orotate	Nucleotide	"Pyrimidine Metabolism, Orotate containing"	orotate	LC/MS Polar	445	1638.1	155.0098	967	50887-69-9	HMDB00226	C00295
35172	orotidine	Nucleotide	"Pyrimidine Metabolism, Orotate containing"	orotidine	LC/MS Polar	100001416	2250	287.0521	92751	314-50-1	HMDB00788	
20694	oxalate (ethanedioate)	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	oxalate (ethanedioate)	LC/MS Neg	100000841	603	88.988	971	144-62-7	HMDB02329	C00209
48841	p-cresol glucuronide*	Amino Acid	Tyrosine Metabolism	p-cresol glucuronide*	LC/MS Neg	100006191	2420	283.0823	154035	17680-99-8	HMDB11686	
36103	p-cresol sulfate	Xenobiotics	Benzoate Metabolism	p-cresol sulfate	LC/MS Neg	100001315	2890	187.0071	4615423	3233-57-7	HMDB11635	
1336	palmitate (16:0)	Lipid	Long Chain Saturated Fatty Acid	palmitate (16:0)	LC/MS Neg	424	5618	255.233	985	57-10-3	HMDB00220	C00249
33447	palmitoleate (16:1n7)	Lipid	Long Chain Monounsaturated Fatty Acid	palmitoleate (16:1n7)	LC/MS Neg	452	5475	253.2173	445638	373-49-9	HMDB03229	C08362
53223	palmitoleoylcarnitine (C16:1)*	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)"	palmitoleoylcarnitine (C16:1)*	LC/MS Pos Late	100009406	1357	398.3265	71464547			
38165	palmitoyl ethanolamide	Lipid	Endocannabinoid	palmitoyl ethanolamide	LC/MS Neg	1489	6300	298.2752	4671	544-31-0	HMDB02100	C16512
62984	palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0)	Lipid	Ceramide PEs	palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0)	LC/MS Pos Late	100021162	2207	661.5279				
44681	palmitoylcarnitine (C16)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)"	palmitoylcarnitine (C16)	LC/MS Pos Late	100000776	1425	400.3421	461	6865-14-1	HMDB00222	C02990
52944	palmitoylcholine	Lipid	Fatty Acid Metabolism (Acyl Choline)	palmitoylcholine	LC/MS Pos Late	100009233	1482	342.3367	151731			
1508	pantothenate (Vitamin B5)	Cofactors and Vitamins	Pantothenate and CoA Metabolism	pantothenate (Vitamin B5)	LC/MS Neg	1024	1498.7	218.1034	6613	137-08-6	HMDB00210	C00864
18254	paraxanthine	Xenobiotics	Xanthine Metabolism	paraxanthine	LC/MS Neg	100000453	2279	179.0575	4687	611-59-6	HMDB01860	C13747
1361	pentadecanoate (15:0)	Lipid	Long Chain Saturated Fatty Acid	pentadecanoate (15:0)	LC/MS Neg	980	5521	241.2173	13849	1002-84-2;10002-84-2	HMDB00826	C16537
63264	pentose acid*	Partially Characterized Molecules	Partially Characterized Molecules	pentose acid*	LC/MS Polar	100021467	2180	165.0405				
57564	perfluorooctanesulfonate (PFOS)	Xenobiotics	Chemical	perfluorooctanesulfonate (PFOS)	LC/MS Polar	100010955	662	498.9302	74483	1763-23-1	HMDB59586	C18142
62071	perfluorooctanoate (PFOA)	Xenobiotics	Chemical	perfluorooctanoate (PFOA)	LC/MS Polar	100020208	685	412.9664	9554		HMDB59587	
32553	phenol sulfate	Amino Acid	Tyrosine Metabolism	phenol sulfate	LC/MS Neg	100001510	2156	172.9914	74426	937-34-8	HMDB60015	C02180
57745	phenylacetate	Amino Acid	Phenylalanine Metabolism	phenylacetate	LC/MS Neg	100000011	2150	91.0554	999	103-82-2	HMDB00209	C07086
48425	phenylacetylcarnitine	Peptide	Acetylated Peptides	phenylacetylcarnitine	LC/MS Pos Early	100006108	3092	280.1543	101724840	287108-21-8		
35126	phenylacetylglutamine	Peptide	Acetylated Peptides	phenylacetylglutamine	LC/MS Neg	100001417	2330	263.1037	92258	28047-15-6	HMDB06344	C04148
64	phenylalanine	Amino Acid	Phenylalanine Metabolism	phenylalanine	LC/MS Pos Early	460	2878	166.0863	6140	63-91-2	HMDB00159	C00079
22130	phenyllactate (PLA)	Amino Acid	Phenylalanine Metabolism	phenyllactate (PLA)	LC/MS Polar	100000774	908	165.0557	3848	828-01-3	HMDB00779	C05607
566	phenylpyruvate	Amino Acid	Phenylalanine Metabolism	phenylpyruvate	LC/MS Neg	241	2515	163.0401	997	156-06-9	HMDB00205	C00166
42109	phosphate	Energy	Oxidative Phosphorylation	phosphate	LC/MS Pos Early	461	576	98.9842	1061	7664-38-2	HMDB01429	C00009
1600	phosphoethanolamine (PE)	Lipid	Phospholipid Metabolism	phosphoethanolamine (PE)	LC/MS Pos Early	1026	700	142.0264	1015	1071-23-4	HMDB00224	C00346
598	phytanate	Xenobiotics	Food Component/Plant	phytanate	LC/MS Neg	466	5908	311.2956	26840	14721-66-5	HMDB00801	C01607
63057	picolinoylglycine	Lipid	Fatty Acid Metabolism (Acyl Glycine)	picolinoylglycine	LC/MS Neg	100021198	1867	179.0462	11788622	5616-29-5	HMDB59766	
53224	pimeloylcarnitine/3-methyladipoylcarnitine (C7-DC)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)"	pimeloylcarnitine/3-methyladipoylcarnitine (C7-DC)	LC/MS Pos Early	100009407	2773	304.1755				
1444	pipecolate	Amino Acid	Lysine Metabolism	pipecolate	LC/MS Pos Early	1025	2200	130.0863	849	4043-87-2	HMDB00070	C00408
33935	piperine	Xenobiotics	Food Component/Plant	piperine	LC/MS Pos Late	100001267	1168	286.1438	638024	94-62-2	HMDB29377	C03882
52913	pregabalin	Xenobiotics	Drug - Neurological	pregabalin	LC/MS Pos Early	100008943	3123	160.1332	4715169	148553-50-8		
40708	pregnanediol-3-glucuronide	Lipid	Progestin Steroids	pregnanediol-3-glucuronide	LC/MS Neg	100003470	5145	495.2963	123796	1852-49-9	HMDB10318	
48394	pregnanolone/allopregnanolone sulfate	Lipid	Progestin Steroids	pregnanolone/allopregnanolone sulfate	LC/MS Neg	100006173	5160	397.2054				
32562	pregnen-diol disulfate*	Lipid	Pregnenolone Steroids	pregnen-diol disulfate*	LC/MS Neg	100001993	3868	238.0775				
32619	pregnenediol sulfate (C21H34O5S)*	Lipid	Pregnenolone Steroids	pregnenediol sulfate (C21H34O5S)*	LC/MS Neg	100002067	5000	397.2054		1247-64-9		
62921	pregnenetriol disulfate*	Lipid	Pregnenolone Steroids	pregnenetriol disulfate*	LC/MS Neg	100021104	3504	246.0749				
62922	pregnenetriol sulfate*	Lipid	Pregnenolone Steroids	pregnenetriol sulfate*	LC/MS Neg	100021103	4749	413.2003				
38170	pregnenolone sulfate	Lipid	Pregnenolone Steroids	pregnenolone sulfate	LC/MS Neg	100002129	5100	395.1898	105074	1247-64-9	HMDB00774	
35127	prolylhydroxyproline	Amino Acid	Urea cycle; Arginine and Proline Metabolism	prolylhydroxyproline	LC/MS Pos Early	100001167	2128	229.1183	11673055	18684-24-7	HMDB06695	
1898	proline	Amino Acid	Urea cycle; Arginine and Proline Metabolism	proline	LC/MS Pos Early	480	1603	116.0706	145742	147-85-3	HMDB00162	C00148
32452	propionylcarnitine (C3)	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	propionylcarnitine (C3)	LC/MS Pos Early	100001162	2590	218.1387	107738	17298-37-2	HMDB00824	C03017
31932	propionylglycine (C3)	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	propionylglycine (C3)	LC/MS Neg	100001150	960	130.051	98681	21709-90-0	HMDB00783	
33442	pseudouridine	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	pseudouridine	LC/MS Neg	821	1100	243.0623	15047	1445-07-4	HMDB00767	C02067
31555	pyridoxate	Cofactors and Vitamins	Vitamin B6 Metabolism	pyridoxate	LC/MS Neg	100001121	2185	182.0459	6723	82-82-6	HMDB00017	C00847
46225	pyroglutamine*	Amino Acid	Glutamate Metabolism	pyroglutamine*	LC/MS Pos Early	100001540	1900	129.0659	134508	2353-44-8		
48428	pyrraline	Xenobiotics	Food Component/Plant	pyrraline	LC/MS Neg	100001767	2304	253.1194	122228	74509-14-1	HMDB33143	
42582	pyruvate	Carbohydrate	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	pyruvate	LC/MS Neg	823	732.4	87.0088	1060	127-17-3	HMDB00243	C00022
18335	quinate	Xenobiotics	Food Component/Plant	quinate	LC/MS Polar	100000442	2432.9	191.0561	6508	77-95-2	HMDB03072	C00296
1899	quinolinate	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	quinolinate	LC/MS Pos Early	182	845	168.0291	1066	89-00-9	HMDB00232	C03722
38595	ranitidine	Xenobiotics	Drug - Gastrointestinal	ranitidine	LC/MS Pos Early	100002735	2910	315.1485	3001055	66357-59-3	HMDB01930	D00422
62485	ranitidine N-oxide*	Xenobiotics	Drug - Gastrointestinal	ranitidine N-oxide*	LC/MS Pos Early	100020810	2926	331.1435	3033888			
1806	retinol (Vitamin A)	Cofactors and Vitamins	Vitamin A Metabolism	retinol (Vitamin A)	LC/MS Pos Late	498	1636	269.2264	445354	68-26-8	HMDB00305	C00473
15772	ribitol	Carbohydrate	Pentose Metabolism	ribitol	LC/MS Polar	100000406	1789.6	151.0612	6912	488-81-3	HMDB00508	C00474
1827	riboflavin (Vitamin B2)	Cofactors and Vitamins	Riboflavin Metabolism	riboflavin (Vitamin B2)	LC/MS Neg	500	3160	255.0887	493570	83-88-5	HMDB00244	C00255
27731	ribonate	Carbohydrate	Pentose Metabolism	ribonate	LC/MS Polar	100001007	2425	165.0405	5460677	8/3/36	HMDB00867	C01685
61858	ribulonate/xylulonate/lyxonate*	Carbohydrate	Pentose Metabolism	ribulonate/xylulonate/lyxonate*	LC/MS Polar	100019968	2350	165.0405				
22196	ritalinic acid	Xenobiotics	Drug - Neurological	ritalinic acid	LC/MS Pos Early	100000579	3207	220.1332	86863	19395-41-6	HMDB42008	
42370	S-1-pyrroline-5-carboxylate	Amino Acid	Glutamate Metabolism	S-1-pyrroline-5-carboxylate	LC/MS Pos Early	35	1528	114.055	1196	2906-39-0	HMDB01301	C04322
43239	S-allylcysteine	Xenobiotics	Food Component/Plant	S-allylcysteine	LC/MS Pos Early	100004509	2690	162.0583	98280	21593-77-1	HMDB34323	
39592	S-methylcysteine	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	S-methylcysteine	LC/MS Neg	100002749	880	134.0281	24417	1187-84-4	HMDB02108	
43378	S-methylcysteine sulfoxide	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	S-methylcysteine sulfoxide	LC/MS Pos Early	100002927	900	152.0376	82142	6853-87-8	HMDB29432	
1515	salicylate	Xenobiotics	Drug - Topical Agents	salicylate	LC/MS Polar	501	802	137.0242	338	69-72-7	HMDB01895	C00805
1516	sarcosine	Amino Acid	"Glycine, Serine and Threonine Metabolism"	sarcosine	LC/MS Pos Early	1023	1280	90.055	1088	107-97-1	HMDB00271	C00213
32398	sebacate (C10-DC)	Lipid	"Fatty Acid, Dicarboxylate"	sebacate (C10-DC)	LC/MS Neg	100001211	1788	201.1132	5192	111-20-6	HMDB00792	C08277
1648	serine	Amino Acid	"Glycine, Serine and Threonine Metabolism"	serine	LC/MS Pos Early	503	1239	106.0499	5951	56-45-1	HMDB00187	C00065
2342	serotonin	Amino Acid	Tryptophan Metabolism	serotonin	LC/MS Pos Early	504	2550	177.1022	5202	153-98-0	HMDB00259	C00780
485	spermidine	Amino Acid	Polyamine Metabolism	spermidine	LC/MS Pos Early	50	3355	146.1652	1102	124-20-9	HMDB01257	C00315
17769	sphinganine	Lipid	Sphingolipid Synthesis	sphinganine	LC/MS Pos Late	313	1413	302.3054	3126	3102-56-5	HMDB00269	C00836
52605	sphinganine-1-phosphate	Lipid	Sphingolipid Synthesis	sphinganine-1-phosphate	LC/MS Pos Late	100001876	1431	382.2717	520	19794-97-9	HMDB01383	
17747	sphingosine	Lipid	Sphingosines	sphingosine	LC/MS Pos Late	297	1393	300.2897	5353955	123-78-4	HMDB00252	C00319
34445	sphingosine 1-phosphate	Lipid	Sphingosines	sphingosine 1-phosphate	LC/MS Pos Late	100000626	1375	380.256	5283560	26993-30-6	HMDB00277	C06124
34384	stachydrine	Xenobiotics	Food Component/Plant	stachydrine	LC/MS Pos Early	100001296	1440	144.1019	115244	4136-37-2	HMDB04827	C10172
1358	stearate (18:0)	Lipid	Long Chain Saturated Fatty Acid	stearate (18:0)	LC/MS Neg	439	5872	283.2643	5281	57-11-4	HMDB00827	C01530
33969	stearidonate (18:4n3)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	stearidonate (18:4n3)	LC/MS Neg	100001229	5395	275.2017	5312508	111174-40-4	HMDB06547	C16300
34409	stearoylcarnitine (C18)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)"	stearoylcarnitine (C18)	LC/MS Pos Late	100001391	1485	428.3734	6426855	18822-91-8	HMDB00848	
57464	stearoylcholine*	Lipid	Fatty Acid Metabolism (Acyl Choline)	stearoylcholine*	LC/MS Pos Late	100015759	1520	370.368				
15730	suberate (C8-DC)	Lipid	"Fatty Acid, Dicarboxylate"	suberate (C8-DC)	LC/MS Polar	100000016	2577.6	173.0819	10457	505-48-6	HMDB00893	C08278
52990	suberoylcarnitine (C8-DC)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)"	suberoylcarnitine (C8-DC)	LC/MS Pos Early	100006627	2964	318.1911				
1437	succinate	Energy	TCA Cycle	succinate	LC/MS Polar	252	3149	117.0193	1110	110-15-6	HMDB00254	C00042
37058	succinylcarnitine (C4-DC)	Energy	TCA Cycle	succinylcarnitine (C4-DC)	LC/MS Pos Early	100001948	2291	262.1285	71464481	256928-74-2	HMDB61717	
1519	sucrose	Carbohydrate	Disaccharides and Oligosaccharides	sucrose	LC/MS Polar	935	3092	387.1144	5988	57-50-1	HMDB00258	C00089
62295	sulfate of piperine metabolite C16H19NO3 (2)*	Xenobiotics	Food Component/Plant	sulfate of piperine metabolite C16H19NO3 (2)*	LC/MS Neg	100020496	4112	352.086				
62296	sulfate of piperine metabolite C16H19NO3 (3)*	Xenobiotics	Food Component/Plant	sulfate of piperine metabolite C16H19NO3 (3)*	LC/MS Neg	100020497	4200	352.086				
46960	sulfate*	Xenobiotics	Chemical	sulfate*	LC/MS Neg	100002528	616	96.9601	1118	14808-79-8	HMDB01448	C00059
20693	tartronate (hydroxymalonate)	Xenobiotics	Food Component/Plant	tartronate (hydroxymalonate)	LC/MS Neg	100000840	610	118.9986	45	80-69-3	HMDB35227	C02287
2125	taurine	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	taurine	LC/MS Pos Early	512	660	126.022	1123	107-35-7	HMDB00251	C00245
33983	tauro-beta-muricholate	Lipid	Primary Bile Acid Metabolism	tauro-beta-muricholate	LC/MS Neg	100001250	4774	514.2844	168408	25696-60-0	HMDB00932	
18494	taurochenodeoxycholate	Lipid	Primary Bile Acid Metabolism	taurochenodeoxycholate	LC/MS Neg	1629	5250	498.2895	387316	6009-98-9	HMDB00951	C05465
62890	taurochenodeoxycholic acid 3-sulfate	Lipid	Secondary Bile Acid Metabolism	taurochenodeoxycholic acid 3-sulfate	LC/MS Neg	100021093	4809	288.6195			HMDB02486	
18497	taurocholate	Lipid	Primary Bile Acid Metabolism	taurocholate	LC/MS Neg	1648	5150	514.2844	6675	145-42-6	HMDB00036	C05122
32807	taurocholenate sulfate*	Lipid	Secondary Bile Acid Metabolism	taurocholenate sulfate*	LC/MS Neg	100001990	4750	279.6142				
